Display Name    Country Code	Language Code	Identifier (Source-Name)
#Legend	hk	en	hashtag-legend
& Premium	jp	ja	premium
& Premium Extra Issue	jp	ja	premium-extra-issue
01Net	fr	fr	01net
01Net Hors-Série	fr	fr	hors-serie-01-net
03 Magazine (NZ)	nz	en	style-nz
10 minnuter Yoga	no	nb	10-minnuter-yoga
10 minuter morgon yoga	se	sv	10-min-morgon-yoga
100 Biscuits	za	en	100-biscuits
100 Idee per Ristrutturare	it	it	100-idee-per-ristrutturare
100 Koekies	za	af	100-koekies
100 medisinske gjennombrudd	no	nb	100-medisinske-gjennombrudd
100 Recipes - What's for dinner?	za	en	100-recipes-what-s-for-dinner
100 Resepte – Wat eet ons vanaand?	za	af	100-resepte-wat-eet-ons-vanaand
100 sidor om Arsenal	se	sv	100-sidor-om-arsenal
100 Years of Le Mans	gb	en	100-years-of-le-mans
100fronteiras	br	pt	100fronteiras
101 Questions 1	us	en	101-questions-1
101 Questions 10	us	en	101-questions-10
101 Questions 11	us	en	101-questions-11
101 Questions 12	us	en	101-questions-12
101 Questions 13	us	en	101-questions-13
101 Questions 14	us	en	101-questions-14
101 Questions 2	us	en	101-questions-2
101 Questions 3	us	en	101-questions-3
101 Questions 4	us	en	101-questions-4
101 Questions 5	us	en	101-questions-5
101 Questions 6	us	en	101-questions-6
101 Questions 7	us	en	101-questions-7
101 Questions 8	us	en	101-questions-8
101 Questions 9	us	en	101-questions-9
110% Gaming	gb	en	110-gaming
123 Sudoku	it	it	123-sudoku
180 sider med SPØRSMÅL	no	nb	180-sider-med-sporsmal
1895 Fortuna	de	de	1895-fortuna
1900-talet i text och bild	se	sv	1900-talet-i-text-och-bild
20 Minuten - Bern	ch	de	20-minuten-bern
20 Minuten - Deutschschweiz überregional	ch	de	20-minuten-deutschschweiz-uberregional
20 Minuten - Luzern	ch	de	20-minuten-luzern
20 Minuten - St. Gallen	ch	de	20-minuten-st-gallen
20 Minuten - Zürich	ch	de	20-minuten-zurich
20 Minutes	fr	fr	20-minutes
20 Minutes (Bordeaux)	fr	fr	20-minutes-bordeaux
20 Minutes (Lille)	fr	fr	20-minutes-lille
20 Minutes (Lyon)	fr	fr	20-minutes-lyon
20 Minutes (Marseille)	fr	fr	20-minutes-marseille
20 Minutes (Montpellier)	fr	fr	20-minutes-montpellier
20 Minutes (Nantes)	fr	fr	20-minutes-nantes
20 Minutes (Nice)	fr	fr	20-minutes-nice
20 Minutes (Paris)	fr	fr	20-minutes-paris
20 Minutes (Rennes)	fr	fr	20-minutes-rennes
20 Minutes (Strasbourg)	fr	fr	20-minutes-strasbourg
